"date","actual","forecast"
"2015-01-01",2.122340710432,1.64926079753917
"2015-02-01",2.19823462768298,1.57224712756366
"2015-03-01",2.11979959492901,1.61984671574883
"2015-04-01",2.13372801062297,1.56993187861231
"2015-05-01",2.22952005811594,2.07997254598956
"2015-06-01",2.23700311093999,1.4631025383685
"2015-07-01",2.14692765123496,2.20756341578556
"2015-08-01",2.28248651567196,1.94515446368978
"2015-09-01",2.24571468471293,1.91589999354738
"2015-10-01",2.18060617354103,1.69365995173071
"2015-11-01",2.12273172355495,1.50132839635513
"2015-12-01",2.17333471711703,2.2368295111415
"2016-01-01",2.22526551146602,2.02478393087175
"2016-02-01",2.21072913699896,2.26923681617828
"2016-03-01",2.02519918260196,1.99968735915376
"2016-04-01",1.878804426015,1.94286634707335
"2016-05-01",1.72217820452101,2.3437552913044
"2016-06-01",1.684845758201,2.04197171121803
"2016-07-01",1.66305697199203,2.0621927989754
"2016-08-01",1.64169146053004,1.77116031620989
"2016-09-01",1.582797259299,1.51147148466882
"2016-10-01",1.74433668337395,1.6251425782234
"2016-11-01",1.72268350711802,1.96415862311141
"2016-12-01",1.75468147972495,1.69854412618485
"2017-01-01",1.87360500090294,1.79616189960984
"2017-02-01",1.86029295623706,1.99636129979183
"2017-03-01",2.10056716444402,2.12449712602756
"2017-04-01",2.12784459372299,1.60660621147754
"2017-05-01",2.24755073486298,1.5416509203605
"2017-06-01",2.22067674567006,1.64413066692935
"2017-07-01",2.24226752393202,1.95220706998451
"2017-08-01",2.09871620605897,1.87861852332287
"2017-09-01",2.17387957299309,2.01502190923152
"2017-10-01",2.10411651452702,1.85763912591519
"2017-11-01",2.19120124774701,1.81484055653496
"2017-12-01",2.22362279075003,1.73486423068779
"2018-01-01",2.156022812669,1.97281043673835
"2018-02-01",2.1184896656,1.54030579391412
"2018-03-01",2.04549865225694,2.22102382963024
"2018-04-01",2.06976944821502,1.65290770588198
"2018-05-01",1.95322771033402,1.89931316544581
"2018-06-01",2.05337338395299,2.11402599639261
"2018-07-01",2.14258674654699,2.03941016616127
"2018-08-01",2.294607045466,1.96261583274426
"2018-09-01",2.30327959379597,2.17354123517185
"2018-10-01",2.31090650108605,2.12200155846607
"2018-11-01",2.327400776585,1.86393635444403
"2018-12-01",2.26475845690794,2.02709101100041
"2019-01-01",2.25609684337504,2.44371093826584
"2019-02-01",2.34006697095399,2.00528630456129
"2019-03-01",2.07604203051703,2.20053347812602
"2019-04-01",1.42079120545597,2.26802077014553
"2019-05-01",1.21109304152203,1.81266408443866
"2019-06-01",1.17673344334994,1.94937829274056
"2019-07-01",1.54864223130202,2.19487666711777
"2019-08-01",1.70772834654702,2.09285719907577
"2019-09-01",1.70445567781901,1.87245980618232
"2019-10-01",1.623166752392,2.37835280778136
"2019-11-01",1.65559708501597,2.20082081396062
"2019-12-01",1.61126311693405,1.98221797914285
"2020-01-01",1.377709212644,1.72742816428685
"2020-02-01",1.26584439176494,2.32304138342661
"2020-03-01",1.63381269074101,1.85012523502208
"2020-04-01",2.92212451047504,1.98023852177628
"2020-05-01",3.71482009103197,1.95847158277066
"2020-06-01",4.32815682375907,1.57357277679132
"2020-07-01",4.12125102430299,1.79692735781448
"2020-08-01",3.87266788545002,2.14591200218914
"2020-09-01",3.93518496009397,2.03144381464459
"2020-10-01",4.48133352739593,2.09735481362776
"2020-11-01",4.85465547480404,1.92832763272565
"2020-12-01",5.35801932734801,2.15759801001255
"2021-01-01",5.88201079531698,1.76411445854239
"2021-02-01",6.25570633789501,1.81059118814216
"2021-03-01",6.27899136092003,1.74488815379036
"2021-04-01",5.97518609527699,1.58376399468535
"2021-05-01",5.845581843713,2.62370058328226
"2021-06-01",5.74003324538195,3.53860208758768
"2021-07-01",5.73294688249701,4.18231498795587
"2021-08-01",6.10366922612302,3.90937501227291
"2021-09-01",6.42218676770501,3.16309903316415
"2021-10-01",6.10553948895305,2.47151366450544
"2021-11-01",5.79371127232999,3.16868154050512
"2021-12-01",5.52834508820297,3.18776899841371
"2022-01-01",5.39110388169197,3.36283944600704
"2022-02-01",5.34977552616702,5.38718016874944
"2022-03-01",5.41360483422801,4.75339532049882
"2022-04-01",5.36710569906704,5.3975826054032
"2022-05-01",5.19876522743408,4.21531122791721
"2022-06-01",4.74337630058503,4.1352163197992
"2022-07-01",4.59620759939297,4.59577109287496
"2022-08-01",4.31059694229594,3.68308959468626
"2022-09-01",4.05214273634602,4.35633650080398
"2022-10-01",3.94672170921995,5.85602692047905
"2022-11-01",3.93627329503703,5.74291171719283
"2022-12-01",3.838997572013,5.97885966396071
"2023-01-01",3.79384118796704,6.59543589082979
"2023-02-01",3.69862637953702,5.59483241536519
"2023-03-01",3.74357292498697,6.44786286161803
"2023-04-01",3.55950064186192,5.64422642751737
"2023-05-01",3.33430282915996,5.27019140291391
"2023-06-01",3.20852757228298,4.64477696675882
"2023-07-01",3.17724673671798,4.71747667974137
"2023-08-01",3.238803469372,4.0560993382828
"2023-09-01",3.23695496974494,4.53126321685103
"2023-10-01",3.23979049050402,4.35556400035886
"2023-11-01",3.22740738493899,4.5712972938063
"2023-12-01",3.16305672751902,4.16041915138769
"2024-01-01",3.23907101020096,3.80947534827026
"2024-02-01",3.09526605293602,3.71883352909355
"2024-03-01",2.77001183933301,3.15828127171586
"2024-04-01",2.74353957958002,3.37838035099643
"2024-05-01",2.72955524540297,3.4084682855926
"2024-06-01",2.86639341352002,3.21400035860713
"2024-07-01",3.00305616696104,2.90251454063951
"2024-08-01",NA,3.03369884608385
"2024-09-01",NA,3.38049272627343
"2024-10-01",NA,3.1539127816386
"2024-11-01",NA,3.26692585092457
"2024-12-01",NA,3.13484611868773
"2025-01-01",NA,3.70105271131772
"2025-02-01",NA,3.25599252164843
"2025-03-01",NA,2.97871136737742
"2025-04-01",NA,3.32053324350269
"2025-05-01",NA,3.38132813375531
"2025-06-01",NA,3.29158237913655
"2025-07-01",NA,2.49586524811754
